window,z_entry_long,z_entry_short,sharpe,return,max_dd,win_rate
30,-2.0,2.0,0.9534623609067858,865.0488280098547,-36.66701865672303,77.19298245614034
30,-2.5,2.0,0.9216671768612725,723.7826006533684,-36.667018656723066,77.55102040816327
30,-1.5,2.0,0.8828038657320524,815.6593421734586,-36.66701865672302,77.04918032786885
30,-2.0,2.5,0.8690315146271357,667.3381690254951,-36.48432149728951,76.47058823529412
30,-2.5,2.5,0.8331267953427988,555.0133155065199,-36.4843214972895,76.74418604651163
30,-1.5,2.5,0.8035755583853567,628.0671637345333,-36.48432149728952,76.36363636363637
30,-2.0,1.5,0.7930616675282328,591.2999599692907,-37.11756890658325,74.19354838709677
30,-2.5,1.5,0.7535305166103007,490.10576701022234,-37.11756890658322,74.07407407407408
30,-1.5,1.5,0.740175807582984,555.9204552327107,-38.1708665656991,74.24242424242425
20,-2.0,2.5,0.5866613867922991,233.00321643754796,-46.429187106250794,71.42857142857143
20,-1.5,2.5,0.5548953833903503,270.51662372825666,-47.71020581832765,70.4225352112676
20,-2.5,2.5,0.5000914746494257,165.86383005015898,-46.42918710625085,71.9298245614035
40,-1.5,2.5,0.4965799851951789,182.58138732803545,-50.8965774131872,63.04347826086957
20,-2.0,2.0,0.49221248477093305,181.71559473004012,-45.47706958803078,72.46376811594203
20,-1.5,2.0,0.4872950438457383,213.45135980255003,-45.477069588030766,71.42857142857143
40,-2.0,2.5,0.46954656203906603,152.17931307719587,-50.896577413187195,60.526315789473685
20,-1.5,1.5,0.4510113107876652,183.4106995796328,-50.57126565094231,62.0253164556962
40,-2.5,2.5,0.4471198686752293,133.98724440400582,-50.896577413187195,63.888888888888886
20,-2.0,1.5,0.4451547806283311,154.7164377759494,-45.81026477010378,71.83098591549296
40,-1.5,1.5,0.43532723924272354,162.4850929114606,-56.36370463213153,67.24137931034483
20,-2.5,2.0,0.40415616932472537,124.91670741514756,-45.47706958803075,73.01587301587301
40,-2.0,1.5,0.40125692950523606,134.24511801471053,-56.36370463213153,66.0
40,-2.5,1.5,0.37592405800320833,117.34681172113017,-56.36370463213154,68.75
40,-1.5,2.0,0.36866056849227397,116.85144443680771,-52.5754744704826,65.38461538461539
20,-2.5,1.5,0.3558600359195946,103.36106193901422,-45.810264770103764,72.3076923076923
40,-2.0,2.0,0.32896074240130985,93.52105534958693,-52.57547447048262,63.63636363636363
40,-2.5,2.0,0.29975540547722024,79.56055920234688,-54.29252556452029,66.66666666666666
60,-2.5,1.5,0.25936082821492895,63.810536128267834,-48.119540679863384,75.67567567567568
60,-2.0,1.5,0.2529784075683226,60.20397176813938,-48.11954067986339,74.35897435897436
60,-1.5,1.5,0.22787231126832327,44.51228437280699,-54.79579767265535,65.11627906976744
60,-2.0,2.0,0.0646227949959723,0.04461504363884039,-48.09759372446783,70.58823529411765
60,-1.5,2.0,0.0630953216104675,-9.75457287614132,-61.86576316010548,57.89473684210527
60,-2.5,2.0,0.059016047829997906,2.296852232622726,-48.327239762486116,71.875
60,-1.5,2.5,0.04503231934965594,-8.786212831024464,-52.3147731800464,53.125
60,-2.0,2.5,0.04420777432172156,1.1181232647744288,-46.2679203281779,67.85714285714286
60,-2.5,2.5,0.03651053260600651,3.39452762294854,-46.2679203281779,69.23076923076923
